mes
ago
mar
mar
out
set
set
set
mar
set
out
out
out
out
ago
ago
ago
dez
dez
dez
out
out
ago
jul
dez
fev
fev
jun
abr
abr
fev
abr
abr
jun
jan
dez
dez
jun
jul
dez
ago
ago
ago
ago
nov
nov
nov
jul
dez
abr
abr
abr
jan
mai
mai
abr
set
jun
mar
fev
mai
jan
jan
mar
jan
fev
mar
mar
set
mar
fev
fev
fev
fev
fev
fev
nov
nov
out
fev
mar
dez
fev
mar
mar
mar
fev
mar
fev
mar
nov
mar
set
mar
out
jun
abr
jun
out
nov
dez
jan
set
jun
ago
fev
set
jun
fev
out
fev
fev
dez
fev
mar
set
fev
abr
mar
mar
abr
mar
mar
mar
fev
dez
mar
mar
nov
mar
mar
fev
fev
fev
fev
fev
fev
mar
mar
fev
fev
mar
out
mar
mar
mar
mar
mar
mar
nov
mar
abr
fev
nov
abr
fev
mar
fev
dez
abr
abr
out
mar
nov
fev
out
fev
mar
fev
mar
fev
fev
jul
mai
mai
mai
abr
abr
mai
jul
out
jan
abr
abr
abr
jul
mai
mai
mai
jul
abr
out
abr
mai
abr
abr
jul
set
mai
mai
jul
jul
jul
out
jun
mai
mai
out
mai
jan
jan
mai
jan
jan
mai
jan
mai
jan
jul
jan
jan
mai
set
jan
set
set
jul
set
set
mai
mai
jul
set
mai
mai
set
mai
mai
jul
set
set
jan
set
set
mai
mai
set
jan
ago
set
jun
mai
jul
mai
mai
jul
jan
jul
out
mai
jul
set
set
set
jul
set
mai
set
mai
set
ago
ago
jan
jun
jan
jan
jan
jun
mai
jul
jan
mai
set
jul
set
set
jun
jul
jul
set
ago
jun
mai
ago
set
jun
jun
jun
ago
ago
ago
jan
jan
jun
ago
jan
ago
ago
jun
set
jun
mai
set
jun
jan
ago
set
jul
jul
jun
jul
jan
jan
ago
jun
ago
ago
ago
ago
jun
ago
ago
ago
ago
jan
jan
ago
jun
jun
jan
ago
jun
ago
ago
jan
jul
jun
ago
jul
jun
ago
jun
ago
jul
ago
jun
jun
ago
jul
ago
jul
jan
ago
ago
jul
abr
jan
jan
ago
jan
jul
dez
dez
nov
fev
nov
fev
fev
abr
abr
abr
abr
abr
nov
dez
abr
abr
out
abr
abr
dez
dez
abr
dez
abr
dez
mar
abr
abr
mar
mar
out
dez
out
abr
abr
out
abr
abr
abr
dez
abr
abr
abr
abr
abr
abr
jan
jan
abr
dez
mar
jun
mar
set
set
set
mar
abr
mar
out
set
dez
mai
jun
jan
mai
dez
fev
ago
ago
jun
set
mar
mar
abr
ago
jan
mar
jan
ago
jun
jun
fev
abr
fev
dez
abr
nov
mar
nov
nov
fev
mar
abr
abr
mar
fev
mar
fev
fev
mar
fev
mar
fev
fev
fev
fev
abr
out
fev
nov
nov
fev
mar
abr
fev
nov
fev
abr
nov
fev
mar
abr
mai
jul
mai
out
mai
out
set
jan
mai
jul
set
mai
jan
jul
set
jun
ago
mai
dez
ago
ago
jun
jun
jul
jan
jan
jun
ago
jul
set
mai
mai
mai
ago
jul
out
set
jul
set
set
mai
mai
jul
out
set
abr
jan
mai
set
mai
jan
out
abr
abr
abr
jul
abr
ago
set
set
dez
jun
jun
jun
ago
jul
ago
ago
jul
jun
jul
set
mai
jun
set
jun
set
ago
jul
mai
mai
set
mai
mai
jul
mai
jun
nov
jun
jul
jul
ago
ago
dez
mai
jan
ago
ago
ago
ago
ago
dez
jan
ago
jun
jul
jun
jul
jan
jul
jan
jul
jun
dez
nov
dez
mar
nov
abr
out
fev
mar
abr
abr
nov
mar
abr
out
dez
abr
dez
nov
mar
fev
abr
nov
mar
out
out
out
fev
nov
nov
out
nov
dez
mar
out
mar
mar
nov
fev
out
out
mar
abr
out
dez
dez
jan
out
abr
jul
abr
set
set
jun
fev
ago
jan
abr
fev
jul
dez
jan
set
jun
ago
nov
dez
ago
fev
ago
mai
dez
jan
out
fev
set
fev
jan
fev
ago
mar
dez
nov
dez
fev
nov
ago
out
dez
jun
dez
fev
ago
nov
fev
mai
ago
set
jun
dez
jun
nov
jul
jul
dez
dez
set
jun
dez
mai
set
abr
mai
set
set
jun
mar
jun
set
dez
ago
jan
mai
dez
set
jul
ago
mai
mai
jul
jun
jun
nov
ago
jul
fev
set
abr
abr
jan
nov
ago
abr
nov
jan
ago
jul
out
jul
ago
jun
set
jun
jul
jul
dez
out
nov
jan
nov
jan
nov
jun
set
nov
nov
abr
mar
mar
abr
jul
mar
out
mar
nov
set
out
abr
jan
jul
set
mai
mar
out
mar
jan
set
abr
mai
abr
out
abr
jan
out
abr
mai
abr
mar
abr
nov
out
fev
nov
dez
set
abr
mai
jan
abr
jul
jul
mai
fev
abr
jan
nov
abr
mar
set
nov
nov
mai
abr
jul
mar
jun
out
out
mai
fev
jan
mai
mar
ago
out
mai
abr
out
mai
ago
mar
out
jul
nov
mai
set
jan
mar
mar
jun
jun
jan
jul
ago
nov
set
set
jul
set
abr
out
mai
jul
abr
nov
set
jul
ago
set
dez
jan
abr
dez
set
mai
jan
mai
jun
jul
mai
jan
jul
nov
out
jul
set
mai
mai
mai
dez
jul
mar
jul
set
jul
nov
mai
out
set
jun
mai
dez
dez
jan
dez
jun
jul
jul
ago
ago
dez
ago
jan
mai
abr
ago
out
out
ago
jan
ago
set
jun
set
mai
abr
dez
ago
ago
out
jun
jan
jun
set
jun
jul
